"Feb 05, 2021, 12 AMEDT",1.23,1.21,-1.55,"Oct 30, 2020, 12 AMEDT",1.06,1.11,+4.32,"Jul 31, 2020, 12 AMEDT",1.23,1.31,+6.24,"May 01, 2020, 12 AMEDT",1.55,1.65,+6.8
"Feb 23, 2021, 12 AMEDT",0.94,1.45,+54.42,"Oct 29, 2020, 12 AMEDT",0.42,0.73,+74.22,"Jul 31, 2020, 12 AMEDT",0.42,0.35,-17.45,"May 07, 2020, 12 AMEDT",0.72,0.75,+4.31
"Feb 10, 2021, 12 AMEDT",1.51,1.82,+20.37,"Nov 02, 2020, 12 AMEDT",1.51,1.83,+21.43,"Aug 05, 2020, 12 AMEDT",1.39,1.56,+12.64,"May 06, 2020, 12 AMEDT",1.34,1.38,+2.68
"Jan 28, 2021, 12 AMEDT",1.71,2.09,+21.94,"Oct 25, 2020, 12 AMEDT",1.71,1.95,+14.37,"Jul 28, 2020, 12 AMEDT",1.05,1.3,+23.34,"Apr 27, 2020, 12 AMEDT",2.24,2.29,+2.19
"Feb 09, 2021, 12 AMEDT",0.47,0.46,-2.13,"Oct 27, 2020, 12 AMEDT",0.97,1.26,+29.76,"Jul 28, 2020, 12 AMEDT",2.38,2.4,+0.76,"Apr 28, 2020, 12 AMEDT",0.99,0.86,-12.87
"Feb 25, 2021, 12 AMEDT",0.2,0.29,+43.56,"Nov 05, 2020, 12 AMEDT",0.3,0.34,+11.84,"Aug 06, 2020, 12 AMEDT",0.21,0.21,+0.96,"May 07, 2020, 12 AMEDT",0.44,0.65,+49.08
"Feb 10, 2021, 12 AMEDT",0.78,0.78,-0.13,"Oct 28, 2020, 12 AMEDT",0.72,0.72,+0.7,"Jul 29, 2020, 12 AMEDT",0.61,0.63,+2.77,"Apr 28, 2020, 12 AMEDT",0.7,0.71,+2.01
"Feb 17, 2021, 12 AMEDT",0.11,0.4,+266.97,"Nov 04, 2020, 12 AMEDT",0.07,-0.13,-275.68,"Aug 05, 2020, 12 AMEDT",0.65,0.89,+36.71,"May 06, 2020, 12 AMEDT",0.26,0.31,+20.62
"Jan 19, 2021, 12 AMEDT",0.71,0.74,+4.82,"Oct 15, 2020, 12 AMEDT",0.46,0.51,+11.6,"Jul 16, 2020, 12 AMEDT",0.53,0.54,+2.47,"Apr 15, 2020, 12 AMEDT",0.62,0.61,-1.93
"Jan 29, 2021, 12 AMEDT",4.89,6.05,+23.75,"Oct 30, 2020, 12 AMEDT",3.03,3.9,+28.71,"Jul 31, 2020, 12 AMEDT",2.44,3.63,+48.65,"May 01, 2020, 12 AMEDT",2.73,1.86,-31.82
"Jan 29, 2021, 12 AMEDT",0.07,-0.01,-113.89,"Oct 30, 2020, 12 AMEDT",-0.26,0.11,+141.83,"Jul 31, 2020, 12 AMEDT",-0.88,-1.59,-80.07,"May 01, 2020, 12 AMEDT",0.68,1.29,+89.15
"Feb 02, 2021, 12 AMEDT",3.73,3.48,-6.73,"Oct 21, 2020, 12 AMEDT",3.47,3.76,+8.48,"Jul 22, 2020, 12 AMEDT",0.35,0.4,+13.31,"Apr 21, 2020, 12 AMEDT",2.91,3.08,+5.84
"Feb 02, 2021, 12 AMEDT",2.82,3.18,+12.65,"Oct 27, 2020, 12 AMEDT",2.19,2,-8.76,"Jul 28, 2020, 12 AMEDT",-0.66,-0.56,+15.02,"Apr 21, 2020, 12 AMEDT",2.57,2.68,+4.4
"Jan 29, 2021, 12 AMEDT",0.52,0.53,+1.15,"Oct 29, 2020, 12 AMEDT",0.67,0.7,+3.86,"Jul 31, 2020, 12 AMEDT",0.63,0.77,+21.84,"Apr 30, 2020, 12 AMEDT",0.77,0.83,+7.24
"Feb 04, 2021, 12 AMEDT",3.68,3.51,-4.54,"Nov 05, 2020, 12 AMEDT",4.24,4.41,+3.91,"Jul 30, 2020, 12 AMEDT",5.15,5.81,+12.82,"Apr 30, 2020, 12 AMEDT",4.35,4.69,+7.82
"Feb 10, 2021, 12 AMEDT",1.19,1.61,+35.41,"Oct 26, 2020, 12 AMEDT",0.33,0.39,+18.54,"Jul 27, 2020, 12 AMEDT",0.39,0.44,+13.7,"Apr 27, 2020, 12 AMEDT",1.05,0.84,-19.62
"Mar 17, 2021, 12 AMEDT",2.22,2.37,+7,"Dec 22, 2020, 12 AMEDT",2.19,2.62,+19.91,"Sep 23, 2020, 12 AMEDT",2.13,2.78,+30.52,"Jul 23, 2020, 12 AMEDT",1.21,1.35,+11.39
